timestamp,num_ues,IMSI,RNTI,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate_downlink,tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,dl_pmi,dl_ri,ul_n,ul_turbo_iters
8.5,5,1010123456002,74,1,2,8,1,0,18.0,3,0,0.005152,1,0,14.0,2.0,3,0,0.1,1,0.0,0,19.7842,31,3,4,0,0,0,1.0
8.75,5,1010123456002,74,1,2,8,1,0,18.0,8,0,0.015456,3,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,8,12,0,0,0,0.0
9.0,5,1010123456002,74,1,2,8,1,0,18.0,7,0,0.015456,3,0,14.0,12.75,8,0,0.1,3,33.3333,0,10.7103,31,7,12,0,0,0,4.75
9.25,5,1010123456002,74,1,2,8,1,0,18.0,6,0,0.010304,2,0,13.5,0.0,0,0,0.0,0,0.0,0,0.0,0,14,8,0,0,0,0.0
9.5,5,1010123456002,74,1,2,8,1,0,0.0,4,0,0.010304,2,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,4,8,0,0,0,0.0
9.75,5,1010123456002,74,1,2,8,1,0,18.0,8,0,0.015456,3,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,9,12,0,0,0,0.0
10.0,5,1010123456002,74,1,2,8,1,0,0.0,2,0,0.005152,1,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,3,4,0,0,0,0.0
10.25,5,1010123456002,74,1,2,8,1,0,18.0,3,0,0.005152,1,0,13.5,0.7,20,0,0.1,8,0.0,0,8.58328,31,3,4,0,0,0,1.0
10.5,5,1010123456002,74,1,2,8,1,0,0.0,2,0,0.005152,1,0,12.0,0.0,0,0,0.0,0,0.0,0,0.0,0,2,4,0,0,0,0.0
10.75,5,1010123456002,74,1,2,8,1,0,17.4444,9,0,0.015616,4,0,11.8333,0.0,0,0,0.0,0,0.0,0,0.0,0,10,12,0,0,0,0.0
11.0,5,1010123456002,74,1,2,8,1,0,0.0,2,0,0.005152,1,0,13.0,0.0,0,0,0.0,0,0.0,0,0.0,0,3,4,0,0,0,0.0
11.25,5,1010123456002,74,1,2,8,1,0,13.4,5,0,0.005568,2,0,10.8333,0.0,0,0,0.0,0,0.0,0,0.0,0,10,6,0,0,0,0.0
11.5,5,1010123456002,74,1,2,8,1,0,15.3636,11,0,0.015616,4,0,13.0,0.333333,18,0,0.1,7,0.0,0,9.0283,31,14,14,0,0,0,1.0
11.75,5,1010123456002,74,1,2,8,1,0,7.71429,35,0,0.031936,13,0,11.8333,0.0,0,0,0.0,0,0.0,0,0.0,0,31,84,0,0,0,0.0
12.0,5,1010123456002,74,1,2,8,1,0,18.0,10,0,0.02576,5,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,11,16,0,0,0,0.0
12.25,5,1010123456002,74,1,2,8,1,0,18.0,6,0,0.010304,2,0,13.8333,0.5,20,0,0.1,8,0.0,0,9.30817,31,6,8,0,0,0,1.0
12.5,5,1010123456002,74,1,2,8,1,0,0.0,0,0,0.0,0,0,13.1429,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0
12.75,5,1010123456002,74,1,2,8,1,0,18.0,9,0,0.020608,4,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,10,16,0,0,0,0.0
13.0,5,1010123456002,74,1,2,8,1,0,18.0,3,0,0.005152,1,0,12.8333,1.6,15,0,0.1,6,0.0,0,12.7946,31,3,4,0,0,0,1.0
13.25,5,1010123456002,74,1,2,8,1,0,18.0,5,0,0.005152,1,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,6,8,0,0,0,0.0
13.5,5,1010123456002,74,1,2,8,1,0,18.0,5,0,0.015456,3,0,13.2857,0.0,0,0,0.0,0,0.0,0,0.0,0,5,8,0,0,0,0.0
13.75,5,1010123456002,74,1,2,8,1,0,18.0,5,0,0.010304,2,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,6,8,0,0,0,0.0
14.0,5,1010123456002,74,1,2,8,1,0,0.857143,42,0,0.017504,17,0,11.3333,0.588235,17,0,0.1,7,0.0,0,6.64694,31,36,124,0,0,0,1.0
14.25,5,1010123456002,74,1,2,8,1,0,13.8571,7,0,0.010464,3,0,13.0,0.0,0,0,0.0,0,0.0,0,0.0,0,10,10,0,0,0,0.0
14.5,5,1010123456002,74,1,2,8,1,0,18.0,7,0,0.015456,3,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,9,12,0,0,0,0.0
14.75,5,1010123456002,74,1,2,8,1,0,18.0,6,0,0.010304,2,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,6,8,0,0,0,0.0
15.0,5,1010123456002,74,1,2,8,1,0,18.0,3,0,0.005152,1,0,11.5,5.0,20,0,0.1,8,0.0,0,10.6707,31,3,4,0,0,0,1.45
15.25,5,1010123456002,74,1,2,8,1,0,0.0,0,0,0.0,0,0,12.8333,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0
15.5,5,1010123456002,74,1,2,8,1,0,0.0,2,0,0.005152,1,0,12.5714,0.0,0,0,0.0,0,0.0,0,0.0,0,3,4,0,0,0,0.0
15.75,5,1010123456002,74,1,2,8,1,0,18.0,9,0,0.015456,3,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,12,16,0,0,0,0.0
16.0,5,1010123456002,74,1,2,8,1,0,18.0,5,0,0.015456,3,0,11.8333,0.0,0,0,0.0,0,0.0,0,0.0,0,5,8,0,0,0,0.0
16.25,5,1010123456002,74,1,2,8,1,0,18.0,8,0,0.015456,3,0,11.8333,0.5,20,0,0.1,8,0.0,0,9.04897,31,8,12,0,0,0,1.0
16.5,5,1010123456002,74,1,2,8,1,0,18.0,5,0,0.010304,2,0,12.1429,0.0,0,0,0.0,0,0.0,0,0.0,0,5,8,0,0,0,0.0
16.75,5,1010123456002,74,1,2,8,1,0,0.0,0,0,0.0,0,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0
17.0,5,1010123456002,74,1,2,8,1,0,18.0,8,0,0.015456,3,0,13.6667,0.0,0,0,0.0,0,0.0,0,0.0,0,8,12,0,0,0,0.0
17.25,5,1010123456002,74,1,2,8,1,0,0.0,2,0,0.005152,1,0,13.5,0.5,20,0,0.1,8,0.0,0,8.99061,31,3,4,0,0,0,1.0
17.5,5,1010123456002,74,1,2,8,1,0,18.0,6,0,0.010304,2,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,6,8,0,0,0,0.0
17.75,5,1010123456002,74,1,2,8,1,0,18.0,8,0,0.015456,3,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,7,12,0,0,0,0.0
18.0,5,1010123456002,74,1,2,8,1,0,0.0,2,0,0.005152,1,0,9.66667,7.2,5,149734,0.1,2,0.0,0,12.7526,31,2,4,0,0,0,3.4
18.25,5,1010123456002,74,1,2,8,1,0,3.75,24,0,0.01648,10,0,12.0,7.68,25,0,0.1,11,36.3636,0,10.0911,0,39,84,0,0,0,4.0
18.5,5,1010123456002,74,1,2,8,1,0,0.0,0,0,0.0,0,0,12.5714,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0
18.75,5,1010123456002,74,1,2,8,1,0,10.9286,14,0,0.01568,5,0,13.6667,0.0,0,0,0.0,0,0.0,0,0.0,0,29,22,0,0,0,0.0
19.0,5,1010123456002,74,1,2,8,1,0,13.7692,13,0,0.005376,3,0,12.8333,1.17647,17,0,0.1,7,0.0,0,11.8752,31,16,14,0,0,0,1.0
19.25,5,1010123456002,74,1,2,8,1,0,18.0,7,0,0.026144,5,0,13.3333,0.0,0,0,0.0,0,0.0,0,0.0,0,11,12,0,0,0,0.0
19.5,5,1010123456002,74,1,2,8,1,0,11.0,3,0,0.005536,1,0,12.1429,0.0,0,0,0.0,0,0.0,0,0.0,0,15,8,0,0,0,0.0
19.75,5,1010123456002,74,1,2,8,1,0,0.1,20,0,0.006176,8,0,11.8333,0.0,0,0,0.0,0,0.0,0,0.0,0,14,60,0,0,0,0.0
